id,title,subtitle,metadata
444,Your Passion Will Keep You Broke— Do This Instead,20% of passion pursuers make 80% of the money. You…,{'title': 'Your Passion Will Keep You Broke— Do This\xa0Instead 20% of passion pursuers make 80% of the money.\xa0You…'}
445,Top 7 Things That Make Your Writing Stand Out,"In the current market, if your writing isn’t clear and…","{'title': 'Top 7 Things That Make Your Writing Stand\xa0Out In the current market, if your writing isn’t clear\xa0and…'}"
446,Why Milady de Winter is the True Hero of ‘The Three Musketeers’,,{'title': 'Why Milady de Winter is the True Hero of ‘The Three Musketeers’ nan'}
447,How Taylor Swift Changed My Writing Life,And how her advice might help your career too,{'title': 'How Taylor Swift Changed My Writing\xa0Life And how her advice might help your career\xa0too'}
448,Writing AI: Friend or Foe?,"How it works, the pros, the cons, and plenty of examples in between","{'title': 'Writing AI: Friend or\xa0Foe? How it works, the pros, the cons, and plenty of examples in\xa0between'}"
449,How Anger Can Power Your Creativity,This one surprised me,{'title': 'How Anger Can Power Your Creativity This one surprised me'}
450,6 Self-Care Tips for Writers,How to nurture your creative well-being,{'title': '6 Self-Care Tips for\xa0Writers How to nurture your creative well-being'}
451,12 Ways to Test Your Forecasts like A Pro,How to find the best performance estimation approach for…,{'title': '12 Ways to Test Your Forecasts like A\xa0Pro How to find the best performance estimation approach\xa0for…'}
452,The Data Analyst Learning Roadmap for People Who Hate Math,"Math, when used in the very practical world…","{'title': 'The Data Analyst Learning Roadmap for People Who Hate\xa0Math Math, when used in the very practical world…'}"
453,Simulating Physical Systems with Python,A Must-Have Skill for any Engineer or Scientist,{'title': 'Simulating Physical Systems with\xa0Python A Must-Have Skill for any Engineer or Scientist'}
454,Teaching CLIP Some Fashion,"Training FashionCLIP, a domain-specific CLIP model for Fashion","{'title': 'Teaching CLIP Some\xa0Fashion Training FashionCLIP, a domain-specific CLIP model for\xa0Fashion'}"
455,"Python args, kwargs, and All Other Ways to Pass Arguments to Your Function",Expertly design your…,"{'title': 'Python args, kwargs, and All Other Ways to Pass Arguments to Your\xa0Function Expertly design\xa0your…'}"
456,5 Changepoint Detection algorithms every Data Scientist should know,Essential guide to changepoint…,{'title': '5 Changepoint Detection algorithms every Data Scientist should\xa0know Essential guide to changepoint…'}
457,The Job-Shop Scheduling Problem: Mixed-Integer Programming Models,Mathematical modeling and Python…,{'title': 'The Job-Shop Scheduling Problem: Mixed-Integer Programming Models Mathematical modeling and\xa0Python…'}
458,Beginner’s Guide to the Must-Know LightGBM Hyperparameters,The most important LightGBM parameters…,{'title': 'Beginner’s Guide to the Must-Know LightGBM Hyperparameters The most important LightGBM parameters…'}
459,Implementing Vision Transformer (ViT) from Scratch,Understand how Vision Transformer (ViT) works by…,{'title': 'Implementing Vision Transformer (ViT) from\xa0Scratch Understand how Vision Transformer (ViT) works\xa0by…'}
460,Using OpenCLIP for Image Search and Automatic Captioning,How LAION used more data and new ML training…,{'title': 'Using OpenCLIP for Image Search and Automatic Captioning How LAION used more data and new ML training…'}
461,Transformer Neural Network Engineering Techniques on System Logs for Malware Behavior Modeling,,{'title': 'Transformer Neural Network Engineering Techniques on System Logs for Malware Behavior\xa0Modeling nan'}
462,Running a Stable Diffusion Cluster on GCP with tensorflow-serving (Part 1),Part 1: Setting up the…,{'title': 'Running a Stable Diffusion Cluster on GCP with tensorflow-serving (Part\xa01) Part 1: Setting up\xa0the…'}
463,Why are Randomized Experiments the Gold Standard in Causal Inference?,Understanding the identifying…,{'title': 'Why are Randomized Experiments the Gold Standard in Causal Inference? Understanding the identifying…'}
464,Applied Reinforcement Learning VI: Deep Deterministic Policy Gradients (DDPG) for Continuous Control,,{'title': 'Applied Reinforcement Learning VI: Deep Deterministic Policy Gradients (DDPG) for Continuous Control nan'}
465,How Sustainable is Your Circular Economy?,Use data analytics to simulate the impact of a circular…,{'title': 'How Sustainable is Your Circular\xa0Economy? Use data analytics to simulate the impact of a circular…'}
466,Unleash the Hidden Patterns: A Guide to Unsupervised Machine Learning for Article Recommender System,,{'title': 'Unleash the Hidden Patterns: A Guide to Unsupervised Machine Learning for Article Recommender System nan'}
467,How You Can (And Why You Should) Secure Your API Keys,Simple best practices for protecting API keys,{'title': 'How You Can (And Why You Should) Secure Your API\xa0Keys Simple best practices for protecting API\xa0keys'}
468,Load Testing Simplified With SageMaker Inference Recommender,Test TensorFlow ResNet50 on SageMaker…,{'title': 'Load Testing Simplified With SageMaker Inference Recommender Test TensorFlow ResNet50 on SageMaker…'}
469,Recursive Chemical Reactions,Algorithmic analysis of chemical structures using RDKit,{'title': 'Recursive Chemical Reactions Algorithmic analysis of chemical structures using\xa0RDKit'}
470,Author Terms and Conditions of Use,"If you have any questions, you can contact us here. You can also…","{'title': 'Author Terms and Conditions of\xa0Use If you have any questions, you can contact us here. You can\xa0also…'}"
471,Privacy Policy,"Our approach to collecting, storing, and using…","{'title': 'Privacy Policy Our approach to collecting, storing, and\xa0using…'}"
472,The Power of Transformers in Predicting Twitter Account Identities,How to Use State-of-the-Art Models…,{'title': 'The Power of Transformers in Predicting Twitter Account Identities How to Use State-of-the-Art Models…'}
473,What if AI tools paid artists?,Exploring solutions and understand challenges for the controversial…,{'title': 'What if AI tools paid\xa0artists? Exploring solutions and understand challenges for the controversial…'}
474,Leading as an IC,Five habits of a successful individual contributor,{'title': 'Leading as an\xa0IC Five habits of a successful individual contributor'}
475,Signs You’re Doing Good with Money (Even If It Doesn’t Feel like It),Underrated sign: you understand…,{'title': 'Signs You’re Doing Good with Money (Even If It Doesn’t Feel like\xa0It) Underrated sign: you understand…'}
476,"I Tried Substack for a Month, You Won’t Believe What Happened",,"{'title': 'I Tried Substack for a Month, You Won’t Believe What\xa0Happened nan'}"
477,The Simple Productivity Hack That is Required Reading for Part-Time Creators,What you need to know…,{'title': 'The Simple Productivity Hack That is Required Reading for Part-Time Creators What you need to\xa0know…'}
478,How Can Writers Make Money on Upwork? (Step-by-Step Process),This article will help you understand how…,{'title': 'How Can Writers Make Money on Upwork? (Step-by-Step Process) This article will help you understand how…'}
479,How to Become a Top Medium Writer if You Have Less Time to Commit?,"Believe in your potential, not…","{'title': 'How to Become a Top Medium Writer if You Have Less Time to\xa0Commit? Believe in your potential, not…'}"
480,9 Practical Challenges With Part-Time Writing and Their Not-So-Fancy Solutions,I work on 2 laptops…,{'title': '9 Practical Challenges With Part-Time Writing and Their Not-So-Fancy Solutions I work on 2\xa0laptops…'}
481,"Depression Robbed Me of My Words, Then It Blessed Me with My Writing",The adversities in our lives can…,"{'title': 'Depression Robbed Me of My Words, Then It Blessed Me with My\xa0Writing The adversities in our lives\xa0can…'}"
482,AI Is Coming for Content Creators,"This Week In Writing, we look at how AI is changing the content…","{'title': 'AI Is Coming for Content\xa0Creators This Week In Writing, we look at how AI is changing the\xa0content…'}"
483,More Than Words: Discovering Your “Why” as a Writer,Good writers are…,{'title': 'More Than Words: Discovering Your “Why” as a\xa0Writer Good writers\xa0are…'}
484,The Audience vs. the Author: Whose Needs Should Drive Your Story?,A look at the dilemma facing every…,{'title': 'The Audience vs. the Author: Whose Needs Should Drive Your\xa0Story? A look at the dilemma facing\xa0every…'}
485,Great English Teachers who Taught Writing,Who was your best writing teacher?,{'title': 'Great English Teachers who Taught\xa0Writing Who was your best writing\xa0teacher?'}
486,Introduction to Embedding-Based Recommender Systems,Learn to build a simple matrix factorization recommender in TensorFlow,{'title': 'Introduction to Embedding-Based Recommender Systems Learn to build a simple matrix factorization recommender in TensorFlow'}
487,The Art of Solving Any Data Science Problem — Simple Tips For A Better Outcome,Unspoken Advice To…,{'title': 'The Art of Solving Any Data Science Problem\u200a—\u200aSimple Tips For A Better\xa0Outcome Unspoken Advice\xa0To…'}
488,Generative AI Product Strategy: How to Build Next-Generation AI Products,Vertical vs horizontal AI…,{'title': 'Generative AI Product Strategy: How to Build Next-Generation AI\xa0Products Vertical vs horizontal AI…'}
489,Demystifying NDCG,How to best use this important metric for monitoring ranking models,{'title': 'Demystifying NDCG How to best use this important metric for monitoring ranking\xa0models'}
490,Geospatial Indexing and Scoring: Unlocking the Power of Location-Based Data Analysis,,{'title': 'Geospatial Indexing and Scoring: Unlocking the Power of Location-Based Data\xa0Analysis nan'}
491,"A Visual Learner’s Guide to Explain, Implement and Interpret Principal Component Analysis (PCA)",,"{'title': 'A Visual Learner’s Guide to Explain, Implement and Interpret Principal Component Analysis\xa0(PCA) nan'}"
492,A complete word processing with Python,"Reading pdf file, utilizing regular expressions, exporting to…","{'title': 'A complete word processing with\xa0Python Reading pdf file, utilizing regular expressions, exporting to…'}"
493,How to get performance data from Power BI with DAX Studio,"<em class=""markup--em markup--h4-em"">Sometimes we have a slow Report, and we need</em>","{'title': 'How to get performance data from Power BI with DAX\xa0Studio <em class=""markup--em markup--h4-em"">Sometimes we have a slow Report, and we\xa0need</em>'}"
494,Streaming Big Data Files from Cloud Storage,Methods for efficient consumption of large files,{'title': 'Streaming Big Data Files from Cloud\xa0Storage Methods for efficient consumption of large\xa0files'}
